 2018-Apr-01 14:50 *   295.5900 -35.4671
 2018-Apr-01 14:52 *   296.0079 -35.8022
 2018-Apr-01 14:54 *   296.4290 -36.1362
 2018-Apr-01 14:56 *   296.8532 -36.4690
 2018-Apr-01 14:58 *   297.2808 -36.8005
 2018-Apr-01 15:00 *   297.7116 -37.1308
 2018-Apr-01 15:02 *   298.1458 -37.4597
 2018-Apr-01 15:04 *   298.5834 -37.7873
 2018-Apr-01 15:06 *   299.0245 -38.1136
 2018-Apr-01 15:08 *   299.4692 -38.4385
 2018-Apr-01 15:10 *   299.9175 -38.7619
 2018-Apr-01 15:12 *   300.3694 -39.0840
 2018-Apr-01 15:14 *   300.8251 -39.4045
 2018-Apr-01 15:16 *   301.2846 -39.7235
 2018-Apr-01 15:18 *   301.7479 -40.0410
 2018-Apr-01 15:20 *   302.2152 -40.3570
 2018-Apr-01 15:22 *   302.6864 -40.6713
 2018-Apr-01 15:24 *   303.1617 -40.9840
 2018-Apr-01 15:26 *   303.6411 -41.2950
 2018-Apr-01 15:28 *   304.1247 -41.6042
 2018-Apr-01 15:30 *   304.6126 -41.9118
 2018-Apr-01 15:32 *   305.1047 -42.2175
 2018-Apr-01 15:34 *   305.6012 -42.5215
 2018-Apr-01 15:36 *   306.1021 -42.8235
 2018-Apr-01 15:38 *   306.6076 -43.1237
 2018-Apr-01 15:40 *   307.1176 -43.4220
 2018-Apr-01 15:42 *   307.6322 -43.7182
 2018-Apr-01 15:44 *   308.1516 -44.0125
 2018-Apr-01 15:46 *   308.6757 -44.3047
 2018-Apr-01 15:48 *   309.2046 -44.5947
 2018-Apr-01 15:50 *   309.7384 -44.8827
 2018-Apr-01 15:52 *   310.2772 -45.1684
 2018-Apr-01 15:54 *   310.8209 -45.4519
 2018-Apr-01 15:56 *   311.3698 -45.7331
 2018-Apr-01 15:58 *   311.9238 -46.0120
 2018-Apr-01 16:00 *   312.4829 -46.2886
 2018-Apr-01 16:02 *   313.0474 -46.5627
 2018-Apr-01 16:04 *   313.6171 -46.8343
 2018-Apr-01 16:06 *   314.1922 -47.1034
 2018-Apr-01 16:08 *   314.7728 -47.3700
 2018-Apr-01 16:10 *   315.3588 -47.6339
 2018-Apr-01 16:12 *   315.9503 -47.8952
 2018-Apr-01 16:14 *   316.5475 -48.1537
 2018-Apr-01 16:16 *   317.1502 -48.4094
 2018-Apr-01 16:18 *   317.7586 -48.6624
 2018-Apr-01 16:20 *   318.3728 -48.9124
 2018-Apr-01 16:22 *   318.9927 -49.1595
 2018-Apr-01 16:24 *   319.6184 -49.4036
