 2017-Mar-05 11:54 *    10.5253 -31.9253
 2017-Mar-05 11:56 *    11.0544 -31.8553
 2017-Mar-05 11:58 *    11.5824 -31.7821
 2017-Mar-05 12:00 *    12.1094 -31.7056
 2017-Mar-05 12:02 *    12.6353 -31.6258
 2017-Mar-05 12:04 *    13.1600 -31.5429
 2017-Mar-05 12:06 *    13.6836 -31.4567
 2017-Mar-05 12:08 *    14.2059 -31.3673
 2017-Mar-05 12:10 *    14.7270 -31.2747
 2017-Mar-05 12:12 *    15.2467 -31.1790
 2017-Mar-05 12:14 *    15.7651 -31.0801
 2017-Mar-05 12:16 *    16.2822 -30.9781
 2017-Mar-05 12:18 *    16.7979 -30.8729
 2017-Mar-05 12:20 *    17.3121 -30.7647
 2017-Mar-05 12:22 *    17.8248 -30.6533
 2017-Mar-05 12:24 *    18.3360 -30.5389
 2017-Mar-05 12:26 *    18.8457 -30.4215
 2017-Mar-05 12:28 *    19.3539 -30.3010
 2017-Mar-05 12:30 *    19.8604 -30.1775
 2017-Mar-05 12:32 *    20.3653 -30.0510
 2017-Mar-05 12:34 *    20.8686 -29.9215
 2017-Mar-05 12:36 *    21.3702 -29.7891
 2017-Mar-05 12:38 *    21.8701 -29.6537
 2017-Mar-05 12:40 *    22.3683 -29.5154
 2017-Mar-05 12:42 *    22.8647 -29.3742
 2017-Mar-05 12:44 *    23.3593 -29.2302
 2017-Mar-05 12:46 *    23.8522 -29.0832
 2017-Mar-05 12:48 *    24.3432 -28.9335
 2017-Mar-05 12:50 *    24.8324 -28.7809
 2017-Mar-05 12:52 *    25.3198 -28.6256
 2017-Mar-05 12:54 *    25.8052 -28.4674
 2017-Mar-05 12:56 *    26.2888 -28.3065
 2017-Mar-05 12:58 *    26.7705 -28.1429
 2017-Mar-05 13:00 *    27.2503 -27.9766
 2017-Mar-05 13:02 *    27.7281 -27.8076
 2017-Mar-05 13:04 *    28.2040 -27.6359
 2017-Mar-05 13:06 *    28.6779 -27.4616
 2017-Mar-05 13:08 *    29.1499 -27.2847
 2017-Mar-05 13:10 *    29.6199 -27.1052
 2017-Mar-05 13:12 *    30.0879 -26.9231
 2017-Mar-05 13:14 *    30.5539 -26.7384
 2017-Mar-05 13:16 *    31.0178 -26.5512
 2017-Mar-05 13:18 *    31.4798 -26.3616
 2017-Mar-05 13:20 *    31.9398 -26.1694
 2017-Mar-05 13:22 *    32.3977 -25.9748
 2017-Mar-05 13:24 *    32.8536 -25.7777
 2017-Mar-05 13:26 *    33.3074 -25.5782
 2017-Mar-05 13:28 *    33.7592 -25.3764
 2017-Mar-05 13:30 *    34.2090 -25.1722
 2017-Mar-05 13:32 *    34.6567 -24.9656
 2017-Mar-05 13:34 *    35.1024 -24.7567
 2017-Mar-05 13:36 *    35.5461 -24.5455
 2017-Mar-05 13:38 *    35.9877 -24.3320
 2017-Mar-05 13:40 *    36.4272 -24.1163
 2017-Mar-05 13:42 *    36.8647 -23.8983
 2017-Mar-05 13:44 *    37.3002 -23.6781
 2017-Mar-05 13:46 *    37.7336 -23.4557
 2017-Mar-05 13:48 *    38.1650 -23.2312
 2017-Mar-05 13:50 *    38.5944 -23.0045
 2017-Mar-05 13:52 *    39.0217 -22.7758
 2017-Mar-05 13:54 *    39.4470 -22.5449
 2017-Mar-05 13:56 *    39.8703 -22.3119
 2017-Mar-05 13:58 *    40.2916 -22.0769
 2017-Mar-05 14:00 *    40.7109 -21.8398
 2017-Mar-05 14:02 *    41.1282 -21.6008
 2017-Mar-05 14:04 *    41.5435 -21.3597
 2017-Mar-05 14:06 *    41.9569 -21.1167
 2017-Mar-05 14:08 *    42.3682 -20.8717
 2017-Mar-05 14:10 *    42.7776 -20.6248
 2017-Mar-05 14:12 *    43.1851 -20.3760
 2017-Mar-05 14:14 *    43.5906 -20.1253
 2017-Mar-05 14:16 *    43.9942 -19.8728
 2017-Mar-05 14:18 *    44.3958 -19.6184
 2017-Mar-05 14:20 *    44.7956 -19.3622
 2017-Mar-05 14:22 *    45.1934 -19.1042
 2017-Mar-05 14:24 *    45.5894 -18.8444
 2017-Mar-05 14:26 *    45.9835 -18.5829
 2017-Mar-05 14:28 *    46.3757 -18.3196
 2017-Mar-05 14:30 *    46.7661 -18.0546
 2017-Mar-05 14:32 *    47.1547 -17.7879
 2017-Mar-05 14:34 *    47.5414 -17.5195
 2017-Mar-05 14:36 *    47.9263 -17.2495
 2017-Mar-05 14:38 *    48.3094 -16.9778
 2017-Mar-05 14:40 *    48.6907 -16.7045
 2017-Mar-05 14:42 *    49.0703 -16.4296
 2017-Mar-05 14:44 *    49.4481 -16.1531
 2017-Mar-05 14:46 *    49.8242 -15.8751
 2017-Mar-05 14:48 *    50.1986 -15.5955
 2017-Mar-05 14:50 *    50.5712 -15.3143
 2017-Mar-05 14:52 *    50.9422 -15.0317
 2017-Mar-05 14:54 *    51.3115 -14.7476
 2017-Mar-05 14:56 *    51.6791 -14.4620
 2017-Mar-05 14:58 *    52.0451 -14.1749
 2017-Mar-05 15:00 *    52.4095 -13.8864
 2017-Mar-05 15:02 *    52.7722 -13.5965
 2017-Mar-05 15:04 *    53.1334 -13.3052
 2017-Mar-05 15:06 *    53.4930 -13.0125
 2017-Mar-05 15:08 *    53.8510 -12.7184
 2017-Mar-05 15:10 *    54.2075 -12.4229
 2017-Mar-05 15:12 *    54.5624 -12.1262
 2017-Mar-05 15:14 *    54.9159 -11.8281
 2017-Mar-05 15:16 *    55.2678 -11.5287
 2017-Mar-05 15:18 *    55.6183 -11.2280
 2017-Mar-05 15:20 *    55.9673 -10.9261
 2017-Mar-05 15:22 *    56.3149 -10.6229
 2017-Mar-05 15:24 *    56.6610 -10.3184
 2017-Mar-05 15:26 *    57.0058 -10.0127
 2017-Mar-05 15:28 *    57.3492  -9.7059
 2017-Mar-05 15:30 *    57.6912  -9.3978
 2017-Mar-05 15:32 *    58.0318  -9.0885
 2017-Mar-05 15:34 *    58.3711  -8.7781
 2017-Mar-05 15:36 *    58.7091  -8.4666
 2017-Mar-05 15:38 *    59.0458  -8.1539
 2017-Mar-05 15:40 *    59.3813  -7.8401
 2017-Mar-05 15:42 *    59.7154  -7.5252
 2017-Mar-05 15:44 *    60.0484  -7.2091
 2017-Mar-05 15:46 *    60.3801  -6.8921
 2017-Mar-05 15:48 *    60.7106  -6.5739
 2017-Mar-05 15:50 *    61.0399  -6.2547
 2017-Mar-05 15:52 *    61.3681  -5.9345
 2017-Mar-05 15:54 *    61.6951  -5.6133
 2017-Mar-05 15:56 *    62.0210  -5.2910
 2017-Mar-05 15:58 *    62.3458  -4.9678
 2017-Mar-05 16:00 *    62.6694  -4.6435
 2017-Mar-05 16:02 *    62.9920  -4.3183
 2017-Mar-05 16:04 *    63.3136  -3.9922
 2017-Mar-05 16:06 *    63.6341  -3.6651
 2017-Mar-05 16:08 *    63.9536  -3.3371
 2017-Mar-05 16:10 *    64.2721  -3.0081
 2017-Mar-05 16:12 *    64.5897  -2.6783
 2017-Mar-05 16:14 *    64.9062  -2.3476
 2017-Mar-05 16:16 *    65.2219  -2.0160
 2017-Mar-05 16:18 *    65.5366  -1.6835
 2017-Mar-05 16:20 *    65.8504  -1.3502
 2017-Mar-05 16:22 *    66.1633  -1.0160
 2017-Mar-05 16:24 *r   66.4754  -0.6810
 2017-Mar-05 16:26 *m   66.7866  -0.3452
 2017-Mar-05 16:28 *m   67.0970  -0.0085
 2017-Mar-05 16:30 *m   67.4066   0.3289
 2017-Mar-05 16:32 *m   67.7154   0.6671
 2017-Mar-05 16:34 *m   68.0234   1.0061
 2017-Mar-05 16:36 *m   68.3307   1.3458
