 2020-Dec-05 15:34 *m  287.3295  10.6737
 2020-Dec-05 15:36 *m  287.6188  10.3212
 2020-Dec-05 15:38 *m  287.9085   9.9692
 2020-Dec-05 15:40 *m  288.1986   9.6178
 2020-Dec-05 15:42 *m  288.4891   9.2671
 2020-Dec-05 15:44 *m  288.7800   8.9169
 2020-Dec-05 15:46 *m  289.0714   8.5674
 2020-Dec-05 15:48 *m  289.3632   8.2185
 2020-Dec-05 15:50 *m  289.6555   7.8703
 2020-Dec-05 15:52 *m  289.9483   7.5227
 2020-Dec-05 15:54 *m  290.2416   7.1757
 2020-Dec-05 15:56 *m  290.5354   6.8295
 2020-Dec-05 15:58 *m  290.8298   6.4839
 2020-Dec-05 16:00 *m  291.1248   6.1390
 2020-Dec-05 16:02 *m  291.4204   5.7949
 2020-Dec-05 16:04 *m  291.7165   5.4514
 2020-Dec-05 16:06 *m  292.0134   5.1087
 2020-Dec-05 16:08 *m  292.3108   4.7667
 2020-Dec-05 16:10 *m  292.6089   4.4254
 2020-Dec-05 16:12 *m  292.9078   4.0849
 2020-Dec-05 16:14 *m  293.2073   3.7452
 2020-Dec-05 16:16 *m  293.5075   3.4063
 2020-Dec-05 16:18 *m  293.8085   3.0681
 2020-Dec-05 16:20 *m  294.1102   2.7308
 2020-Dec-05 16:22 *m  294.4127   2.3942
 2020-Dec-05 16:24 *m  294.7160   2.0585
 2020-Dec-05 16:26 *m  295.0201   1.7236
 2020-Dec-05 16:28 *m  295.3251   1.3895
 2020-Dec-05 16:30 *m  295.6309   1.0563
 2020-Dec-05 16:32 *m  295.9375   0.7240
